Date,Open,High,Low,Close
05-Sep-01,3232.38,3245.99,3218.04,3228.6
06-Sep-01,3219.84,3233.49,3187.66,3202.55
07-Sep-01,3196.41,3203.54,3166.97,3198.4
10-Sep-01,3224.9,3224.9,3180.85,3183.63
11-Sep-01,3189.09,3198.81,3141.57,3150.4
12-Sep-01,3030.29,3046.22,2954.35,3032.71
13-Sep-01,3038.88,3068.49,2982.16,2987.5
14-Sep-01,2986.86,2986.86,2770.24,2830.12
17-Sep-01,2758.16,2758.16,2640.58,2680.98
18-Sep-01,2680.04,2814.07,2680.04,2782.47
19-Sep-01,2785.37,2817.48,2785.37,2804.16
20-Sep-01,2781.46,2781.46,2674.82,2761.66
21-Sep-01,2753.96,2753.96,2594.87,2600.12
24-Sep-01,2627.25,2688.95,2627.25,2651.78
25-Sep-01,2668.37,2727.32,2613.53,2617.35
26-Sep-01,2621.89,2682.59,2615.04,2667.34
27-Sep-01,2674.29,2726.97,2669.05,2715.5
28-Sep-01,2727.34,2830.35,2727.34,2811.6
01-Oct-01,2817.74,2822.77,2773.03,2795.3
03-Oct-01,2802.24,2808.45,2742.85,2754.95
04-Oct-01,2763.17,2798.69,2763.17,2788.97
05-Oct-01,2789.1,2826.16,2765.21,2812.9
08-Oct-01,2767.93,2784.09,2718.41,2765.37
09-Oct-01,2772.21,2802.34,2772.21,2794.42
10-Oct-01,2836.74,2904.59,2836.74,2896.6
11-Oct-01,2899.8,2956.86,2899.8,2943.69
12-Oct-01,2960.5,2989.63,2947.34,2959.39
15-Oct-01,2951.69,2983.33,2940.08,2976.3
16-Oct-01,2978.11,3002,2971.57,2992.46
17-Oct-01,2998.86,3050.07,2998.86,3043.85
18-Oct-01,3023.29,3034.97,2967.68,2981.33
19-Oct-01,3003.02,3025.89,3003.02,3016.84
22-Oct-01,3025.03,3061.77,2993.89,3001.86
23-Oct-01,3010.94,3065.48,3010.94,3061.91
24-Oct-01,3057,3083.65,3026.63,3040.16
25-Oct-01,3047.39,3066.04,3013.83,3022.16
29-Oct-01,3028.71,3063.9,3004.03,3009.33
30-Oct-01,2995.37,2995.37,2953.38,2957.45
31-Oct-01,2958.39,2998.7,2942.49,2989.35
01-Nov-01,3003.95,3062.77,3003.95,3049.8
02-Nov-01,3059.52,3100.29,3040.84,3052.6
05-Nov-01,3058.11,3070.66,3030.57,3037.01
06-Nov-01,3038.02,3087.59,3038.02,3068.89
07-Nov-01,3071.78,3109.26,3006.97,3013.94
08-Nov-01,3020.39,3067.55,3017.41,3059.97
09-Nov-01,3070.58,3092.01,3069.62,3079.67
12-Nov-01,3084.42,3106.43,3081.15,3094.14
13-Nov-01,3093.78,3101.58,3059.42,3077.19
14-Nov-01,3079.88,3124.33,3079.88,3113.04
15-Nov-01,3116.72,3195.52,3107.8,3180.23
19-Nov-01,3211.26,3293.28,3205.46,3280.48
20-Nov-01,3296.17,3326.76,3223.99,3231.66
21-Nov-01,3233.61,3273.3,3223.32,3244.09
22-Nov-01,3246.48,3305.84,3246.48,3258.13
23-Nov-01,3263.06,3301.34,3245.58,3252.2
26-Nov-01,3262.93,3335.95,3262.93,3322.77
27-Nov-01,3360.93,3377.81,3278.69,3287.57
28-Nov-01,3289.7,3322.52,3283.08,3294.12
29-Nov-01,3284.32,3296.98,3270.27,3287.56
03-Dec-01,3301.05,3311.83,3271.55,3275.47
04-Dec-01,3276.65,3335.36,3276.65,3320.28
05-Dec-01,3334.64,3416.03,3334.64,3409.64
06-Dec-01,3440.56,3500.2,3414.43,3431.57
07-Dec-01,3433.82,3468.28,3426.06,3436.37
10-Dec-01,3445.22,3468.19,3434.04,3442.89
11-Dec-01,3440.38,3467.08,3416.56,3419.13
12-Dec-01,3436.34,3462.97,3404.37,3412.15
13-Dec-01,3412.59,3440.52,3308.86,3388.59
14-Dec-01,3388.87,3388.87,3336.18,3353.6
18-Dec-01,3362.67,3384.66,3301.36,3335.88
19-Dec-01,3340.65,3350.73,3257.45,3262.67
20-Dec-01,3257.24,3281.12,3231.3,3271.64
21-Dec-01,3268.99,3268.99,3218.93,3235.49
24-Dec-01,3227.3,3244.24,3181.57,3232.97
26-Dec-01,3227.8,3262.92,3170.23,3175.86
27-Dec-01,3172.27,3193.39,3126.65,3131.78
28-Dec-01,3132.27,3186.33,3100.57,3184.44
31-Dec-01,3186.82,3270.68,3186.82,3262.33
01-Jan-02,3262.01,3299.98,3236.76,3246.15
02-Jan-02,3243.84,3280.43,3243.32,3269.16
03-Jan-02,3282.68,3309.38,3272.21,3308.02
04-Jan-02,3323.55,3393.66,3323.55,3375.74
07-Jan-02,3377.13,3438.86,3377.13,3401.8
